"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Odisha State Warehousing Corporation","OSWC ANGUL","6647101","OSWC Angul, At - Hakimpara, Po - Angul, Pin - 766014,","Anugul","ODISHA","3200","28-Oct-2022","27-Oct-2027","9438067588","Active",""
"Odisha State Warehousing Corporation","OSWC BARIPADA","6644405","OSWC Baripada, At - Station Bazaar, Po - Baripada,,","Mayurbhanj","ODISHA","2500","28-Oct-2022","27-Oct-2027","9337341755","Active",""
"Odisha State Warehousing Corporation","MALMUNDA","6607329","At - Malmunda, Po - Rajendra College,,","Balangir","ODISHA","21000","26-Jul-2022","25-Jul-2027","7008644114","Active",""
"Odisha State Warehousing Corporation","Malkangiri","6628838","Malkangiri, Malkangiri","Malkangiri","ODISHA","12100","15-Sep-2022","14-Sep-2027","9937739397","Active",""
"Odisha State Warehousing Corporation","OSWC BALASORE","7106107","OSWC BALASORE, At - Angargadia, Po - Angargadia,","Baleshwar","ODISHA","5500","25-Jun-2025","24-Jun-2030","9437232240","Active",""
"Odisha State Warehousing Corporation","OSWC BORIGUMMA","6658264","OSWC Boriguma (Kenduguda), At/po - Boriguma, Dist - Koraput, Pin -,","Koraput","ODISHA","1000","05-Dec-2022","04-Dec-2027","7064520430","Active",""
"Odisha State Warehousing Corporation","OSWC SAKHIGOPAL","6663397","OSWC Sakhigopal, At/po - Sakhigopal, Dist - Puri,,","Puri","ODISHA","3500","15-Dec-2022","14-Dec-2027","9861010974","Active",""
"Odisha State Warehousing Corporation","NIMAPARA","6610380","OSWC Nimapara, At/po - Nahantara, Dist - Puri, Pin - 752106,","Puri","ODISHA","5000","05-Aug-2022","04-Aug-2027","9861010974","Active",""
"Odisha State Warehousing Corporation","KENDRAPARA","6606875","OSWC, Kendrapara, At/po - Dhuria,","Kendrapara","ODISHA","1000","26-Jul-2022","25-Jul-2027","9438047684","Active",""
"Odisha State Warehousing Corporation","JAGATSINGHPUR 2","6620736","OSWC JAGATSINGHPUR - 2, At - Basantpur, Po - Annakhia, Dist - Jagatsinghpur, Pin - 754102,","Jagatsinghapur","ODISHA","7000","23-Aug-2022","22-Aug-2027","9861314135","Active",""
"Odisha State Warehousing Corporation","OSWC ANANDAPUR","6606511","OSWC ANANDPUR, At - Suapada, Po - Ramchandrapur, Dist - Keonjhar,","Kendujhar","ODISHA","10500","26-Jul-2022","25-Jul-2027","9437326192","Active",""
"Odisha State Warehousing Corporation","Jagannathpur","6610026","Jagannathpur, Narendrapaur","Ganjam","ODISHA","7500","04-Aug-2022","03-Aug-2027","9439245509","Active",""
"Odisha State Warehousing Corporation","OSWC KUTRA","6619928","OSWC Kutra, At - Near Dalmia College, Po - Jharbeda, Dist - Sundargarh,,","Sundargarh","ODISHA","5000","21-Aug-2022","20-Aug-2027","9439658101","Active",""
